line_id	trigger_key	rarity	chat_text	sound_event_id	source_ogg_01	source_ogg_02	source_ogg_03	target_ogg_01	target_ogg_02	target_ogg_03
topic_deep_dark_first	first_unlocked	COMMON	We are somewhere we should not be.	bot.line.topic_deep_dark_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_first__03.ogg
topic_deep_dark_ask_1	ask_about	COMMON	This place punishes curiosity. Stay light on your feet.	bot.line.topic_deep_dark_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_1__03.ogg
topic_deep_dark_ask_2	ask_about	COMMON	If you hear a heartbeat, stop moving.	bot.line.topic_deep_dark_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_2__03.ogg
topic_deep_dark_ask_3	ask_about	COMMON	I'm voting we don't explore this.	bot.line.topic_deep_dark_ask_3	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_3__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_3__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_ask_3__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_3__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_3__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_ask_3__03.ogg
topic_deep_dark_memory	memory_callback	RARE	The Deep Dark still feels like a mistake we escaped.	bot.line.topic_deep_dark_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_deep_dark_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_deep_dark_memory__03.ogg
topic_mushroom_first	first_unlocked	COMMON	This is either paradise or a prank.	bot.line.topic_mushroom_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_first__03.ogg
topic_mushroom_ask_1	ask_about	COMMON	No mobs. No screaming. Suspiciously peaceful.	bot.line.topic_mushroom_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_ask_1__03.ogg
topic_mushroom_ask_2	ask_about	COMMON	We could retire here. Quietly. With soup.	bot.line.topic_mushroom_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_ask_2__03.ogg
topic_mushroom_memory	memory_callback	RARE	We found the one biome that doesn't hate us.	bot.line.topic_mushroom_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_mushroom_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_mushroom_memory__03.ogg
topic_jungle_first	first_unlocked	COMMON	Everything here is alive and judging us.	bot.line.topic_jungle_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_first__03.ogg
