line_id	trigger_key	rarity	chat_text	sound_event_id	source_ogg_01	source_ogg_02	source_ogg_03	target_ogg_01	target_ogg_02	target_ogg_03
ambient_bad_feeling	random_idle_not_combat	RARE	I have a bad feeling about this.	bot.line.ambient_bad_feeling	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_bad_feeling__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_bad_feeling__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_bad_feeling__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_bad_feeling__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_bad_feeling__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_bad_feeling__03.ogg
ambient_blame_terrain	random_idle_not_combat	COMMON	If we die, I'm blaming the terrain.	bot.line.ambient_blame_terrain	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_blame_terrain__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_blame_terrain__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_blame_terrain__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_blame_terrain__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_blame_terrain__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_blame_terrain__03.ogg
ambient_my_job	random_idle_not_combat	COMMON	I can't believe this is my job.	bot.line.ambient_my_job	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_my_job__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_my_job__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_my_job__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_my_job__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_my_job__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_my_job__03.ogg
ambient_thinking	random_idle_not_combat	COMMON	I'm thinking. Don't rush me.	bot.line.ambient_thinking	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_thinking__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_thinking__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ambient_thinking__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_thinking__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_thinking__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ambient_thinking__03.ogg
animal_quality	tamed_animal_nearby	UNCOMMON	That's a quality animal.	bot.line.animal_quality	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/animal_quality__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/animal_quality__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/animal_quality__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/animal_quality__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/animal_quality__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/animal_quality__03.ogg
animal_well_behaved	tamed_animal_nearby	UNCOMMON	I respect a well-behaved animal.	bot.line.animal_well_behaved	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/animal_well_behaved__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/animal_well_behaved__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/animal_well_behaved__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/animal_well_behaved__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/animal_well_behaved__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/animal_well_behaved__03.ogg
boat_beautiful_day	in_boat_not_combat	COMMON	Beautiful day to be on the water.	bot.line.boat_beautiful_day	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_beautiful_day__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_beautiful_day__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_beautiful_day__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_beautiful_day__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_beautiful_day__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_beautiful_day__03.ogg
boat_deep_water	in_boat_deep_water	COMMON	That water looks deep.	bot.line.boat_deep_water	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_deep_water__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_deep_water__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_deep_water__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_deep_water__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_deep_water__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_deep_water__03.ogg
boat_dolphin_escort	in_boat_dolphin_nearby	COMMON	We've got an escort.	bot.line.boat_dolphin_escort	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_dolphin_escort__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_dolphin_escort__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_dolphin_escort__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_dolphin_escort__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_dolphin_escort__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_dolphin_escort__03.ogg
boat_fish_size	in_boat_not_combat	COMMON	Did you see the size of that fish?	bot.line.boat_fish_size	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_fish_size__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_fish_size__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_fish_size__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_fish_size__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_fish_size__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_fish_size__03.ogg
